
"aaa",00:07:666,track_1,xjr12,False
"bbb",00:08:199,track_1,xjr12,False
"aaa",00:07:183,track_1,xjr12,False
"ccc",00:07:400,track_1,xjr12,False
"ddd",00:07:666,track_1,xjr12,False
"eee",00:12:533,track_1,xjr12,False
"fff",00:07:649,track_1,xjr12,False
"ggg",00:15:400,track_2,xjr12,False
"iii",00:14:916,track_2,xjr12,True
"jjj",00:11:999,track_2,xjr12,True
???,00:12:400,track_2,xjr12,True
"kkkkk",00:11:783,track_2,xjr12,True
???,00:11:833,track_2,xjr12,True
???,00:11:633,track_2,xjr12,True
humptydump,00:11:733,track_2,xjr12,True
xxxxxxxxxx,00:11:999,track_2,xjr12,True
"leader",00:12:749,track_2,xjr12,True
"gfgfh",00:11:949,track_2,xjr12,True
"WETWIPE",00:26:716,track_1,xjr12,True
"WETWIPE",00:07:199,track_1,xjr12,True
"aaaaa",00:08:516,track_1,xjr12,True
"SSS",00:12:649,track_1,xjr12,True
"ASASA",00:07:366,track_1,xjr12,True
"whryfg",00:07:933,track_1,xjr12,True
